langkah,detik,delta_rss_mb
tulis CSV Juli,42.82,5.6
Spark agregasi Juli,5.96,0.0
agregasi chunking Juli,5.03,29.3
baca semua kolom Juli,4.5,495.5
spark count Juli,2.86,0.0
baca kolom terpilih Juli,0.69,121.1
